Godolphin, Bernard 57 3
           1 Godolphin, Bernard 1:46.15 UT 20
           1 Godolphin, Bernard 3:47.85 UT 20
           2 Godolphin, Bernard 49.01 UT 17
Stone, Kieran 53 4
           2 Stone, Kieran 1:48.39 Mustangs 17
           3 Stone, Kieran 3:52.42 Mustangs 16
           11 Stone, Kieran 50.96 Mustangs 6
           5 Stone, Kieran 2:03.39 Mustangs 14
Oswald, Brendan 60 4
           3 Oswald, Brendan 1:49.34 UT 16
           7 Oswald, Brendan 55.28 UT 12
           3 Oswald, Brendan 1:59.07 UT 16
           3 Oswald, Brendan 1:59.45 UT 16
Tambling, Max 53 5
           4 Tambling, Max 1:49.35 UT 15
           2 Tambling, Max 3:50.75 UT 17
           11 Tambling, Max 2:06.64 UT 6
           15 Tambling, Max 51.37 UT 2
           6 Tambling, Max 16:19.10 UT 13
Matteis, Quinn 50 5
           5 Matteis, Quinn 1:50.92 UT 14
           16 Matteis, Quinn 56.87 UT 1
           4 Matteis, Quinn 3:53.95 UT 15
           41 Matteis, Quinn NT UT 0
           1 Matteis, Quinn 15:39.78 UT 20
Klakov, Maksym 36 4
           6 Klakov, Maksym 1:50.97 UT 13
           21 Klakov, Maksym 26.14 UT 0
           7 Klakov, Maksym 22.97 UT 12
           8 Klakov, Maksym 50.46 UT 11
Baghdassarian, Kevork 37 6
           7 Baghdassarian, Kevork 1:52.28 MACU 12
           11 Baghdassarian, Kevork 56.32 MACU 6
           24 Baghdassarian, Kevork 4:12.02 MACU 0
           7 Baghdassarian, Kevork 2:04.68 MACU 12
           18 Baghdassarian, Kevork 52.02 MACU 0
           10 Baghdassarian, Kevork 16:32.09 MACU 7
Robins, Phil 28 5
           8 Robins, Phil 1:52.38 UT 11
           14 Robins, Phil 56.64 UT 3
           27 Robins, Phil 26.41 UT 0
           5 Robins, Phil 2:02.29 UT 14
           17 Robins, Phil 51.77 UT 0
Bartoch, Hayden 48 4
           9 Bartoch, Hayden 1:52.43 Mustangs 9
           9 Bartoch, Hayden 55.55 Mustangs 9
           5 Bartoch, Hayden 3:58.00 Mustangs 14
           3 Bartoch, Hayden 15:54.11 Mustangs 16
Konik, Justin 19 4
           10 Konik, Justin 1:53.22 UT 7
           17 Konik, Justin 2:09.65 UT 0
           7 Konik, Justin 50.13 UT 12
           37 Konik, Justin 2:18.21 UT 0
Loewen, Riley 18 4
           11 Loewen, Riley 1:53.87 UT 6
           7 Loewen, Riley 4:03.75 UT 12
           37 Loewen, Riley 24.83 UT 0
           33 Loewen, Riley 53.36 UT 0
Duong, Raymond 15 4
           12 Duong, Raymond 1:54.26 Warriors 5
           25 Duong, Raymond 26.29 Warriors 0
           10 Duong, Raymond 23.41 Warriors 7
           14 Duong, Raymond 51.25 Warriors 3
Jansen, Ruben 46 6
           13 Jansen, Ruben 1:54.27 Gryphons 4
           3 Jansen, Ruben 4:27.57 Gryphons 16
           16 Jansen, Ruben 4:09.05 Gryphons 1
           8 Jansen, Ruben 2:05.30 Gryphons 11
           27 Jansen, Ruben 52.87 Gryphons 0
           5 Jansen, Ruben 16:17.12 Gryphons 14
Li, Jack 36 5
           14 Li, Jack 1:55.66 QUE 3
           33 Li, Jack 26.69 QUE 0
           9 Li, Jack 2:05.43 QUE 9
           13 Li, Jack 23.75 QUE 4
           1 Li, Jack 48.66 QUE 20
Herman, Andrew 32 4
           15 Herman, Andrew 1:55.77 YU 2
           4 Herman, Andrew 57.11 YU 15
           36 Herman, Andrew 24.80 YU 0
           4 Herman, Andrew 2:05.30 YU 15
Luo, Hanwen 3 4
           16 Luo, Hanwen 1:55.82 Mustangs 1
           18 Luo, Hanwen 57.16 Mustangs 0
           15 Luo, Hanwen 2:08.09 Mustangs 2
           23 Luo, Hanwen 52.53 Mustangs 0
Angove, Max 10 4
           17 Angove, Max 1:56.76 MACU 0
           13 Angove, Max 4:07.82 MACU 4
           44 Angove, Max 53.92 MACU 0
           11 Angove, Max 16:32.54 MACU 6
Iapicco, Aidan 65 6
           18 Iapicco, Aidan 1:56.82 Warriors 0
           9 Iapicco, Aidan 1:02.84 Warriors 9
           6 Iapicco, Aidan 4:33.33 Warriors 13
           6 Iapicco, Aidan 4:00.39 Warriors 13
           6 Iapicco, Aidan 2:15.72 Warriors 13
           2 Iapicco, Aidan 15:47.20 Warriors 17
Karlov, Evan 1 4
           19 Karlov, Evan 1:57.00 Brock Badgers 0
           30 Karlov, Evan 26.61 Brock Badgers 0
           16 Karlov, Evan 23.95 Brock Badgers 1
           22 Karlov, Evan 52.40 Brock Badgers 0
Laupland, Trevor 1 6
           20 Laupland, Trevor 1:57.04 MACU 0
           16 Laupland, Trevor 4:45.10 MACU 1
           23 Laupland, Trevor 4:11.44 MACU 0
           26 Laupland, Trevor 2:27.72 MACU 0
           21 Laupland, Trevor 17:35.55 MACU 0
           27 Laupland, Trevor 2:14.93 MACU 0
Davison, Brent 18 4
           21 Davison, Brent 1:57.05 Mustangs 0
           13 Davison, Brent 4:39.61 Mustangs 4
           12 Davison, Brent 4:07.70 Mustangs 5
           9 Davison, Brent 16:31.26 Mustangs 9
Bird, Josh 17 5
