Event: 1 Women 50 SC Meter Freestyle 
Name : Smith, Rebecca, Seed Time: 25.10, Ranking: 1, Points: 20, Team Name: U Of C Dinos, Age: 22 
Name : McMurray, Ainsley, Seed Time: 25.21, Ranking: 2, Points: 17, Team Name: UT, Age: 23 
Name : Sarty, Isabel, Seed Time: 25.26, Ranking: 3, Points: 16, Team Name: McGILL, Age: 23 
Name : Gold, Aleksa, Seed Time: 25.41, Ranking: 4, Points: 15, Team Name: UT, Age: 23 
Name : Ling, Elizabeth, Seed Time: 25.42, Ranking: 5, Points: 14, Team Name: McGILL, Age: 20 
Name : Vander Leek, Teagan, Seed Time: 25.49, Ranking: 6, Points: 13, Team Name: UT, Age: 18 
Name : Chubaty, Lily, Seed Time: 25.57, Ranking: 7, Points: 12, Team Name: UT, Age: 21 
Name : Beauchemin, Charlotte, Seed Time: 25.66, Ranking: 8, Points: 11, Team Name: UDEM, Age: 25 
Name : Kary, Raili, Seed Time: 25.76, Ranking: 9, Points: 9, Team Name: UT, Age: 20 
Name : Housman, Eliza, Seed Time: 25.78, Ranking: 10, Points: 7, Team Name: U Of C Dinos, Age: 18 
Name : Stejskal, Cassandra, Seed Time: 25.89, Ranking: 11, Points: 6, Team Name: USHER, Age: 22 
Name : Garcia, Rose, Seed Time: 25.90, Ranking: 12, Points: 5, Team Name: Ubc Thunderbirds, Age: 20 
Name : Zapparoli, Greta, Seed Time: 25.92, Ranking: 13, Points: 4, Team Name: McGILL, Age: 20 
Name : Albers, Laura, Seed Time: 25.94, Ranking: 14, Points: 3, Team Name: U Of C Dinos, Age: 21 
Name : Guay-Boisvert, Janelle, Seed Time: 26.02, Ranking: 15, Points: 2, Team Name: Lav, Age: 24 
Name : Dumont-Belanger, Anna, Seed Time: 26.03, Ranking: 16, Points: 1, Team Name: Ubc Thunderbirds, Age: 21 
Name : Modrcin, Dora, Seed Time: 26.04, Ranking: 17, Points: 0, Team Name: UM, Age: 23 
Name : Wiens, Brooklyn, Seed Time: 26.06, Ranking: 18, Points: 0, Team Name: Ubc Thunderbirds, Age: 19 
Name : Moore, Julianne, Seed Time: 26.07, Ranking: 19, Points: 0, Team Name: U Of C Dinos, Age: 19 
Name : Crowell, Reagan, Seed Time: 26.14, Ranking: 20, Points: 0, Team Name: Dal Tigers, Age: 22 
Name : Walker-deJong, Shaunna, Seed Time: 26.18, Ranking: 21, Points: 0, Team Name: Uottawa Gee-Gees, Age: 21 
Name : Schanel, Hannah, Seed Time: 26.29, Ranking: 22, Points: 0, Team Name: UM, Age: 19 
